//X Y Z R G B Nx Ny Nz
-11.43980503 6.44066763 492.72015381 153 153 153 0.000000 0.000000 0.000000
-11.44482040 6.44541597 492.73342896 153 153 153 0.000000 0.000000 0.000000
-11.45127296 6.43682575 492.75689697 153 153 153 0.000000 0.000000 0.000000
-11.42982864 6.43322849 492.69113159 153 153 153 0.000000 0.000000 0.000000
-11.45797825 6.44335699 492.76138306 153 153 153 0.000000 0.000000 0.000000
-11.43960381 6.44320726 492.71334839 153 153 153 0.000000 0.000000 0.000000
-11.43656349 6.43327999 492.71868896 153 153 153 0.000000 0.000000 0.000000
-11.45672226 6.43978167 492.76269531 153 153 153 0.000000 0.000000 0.000000
-11.45665264 6.44133329 492.77880859 153 153 153 0.000000 0.000000 0.000000
-11.43687534 6.43209887 492.72247314 153 153 153 0.000000 0.000000 0.000000
-11.44965744 6.43208170 492.72937012 153 153 153 0.000000 0.000000 0.000000
-11.44869137 6.44746828 492.73727417 153 153 153 0.000000 0.000000 0.000000
-11.44795513 6.43380642 492.72976685 153 153 153 0.000000 0.000000 0.000000
-11.45703316 6.44196081 492.75271606 153 153 153 0.000000 0.000000 0.000000
-11.43825150 6.43078804 492.70062256 153 153 153 0.000000 0.000000 0.000000
-11.45783424 6.43516731 492.75531006 153 153 153 0.000000 0.000000 0.000000
-11.42894077 6.43813467 492.69384766 153 153 153 0.000000 0.000000 0.000000
-11.44882298 6.43492889 492.74572754 153 153 153 0.000000 0.000000 0.000000
-11.45510292 6.44081688 492.75726318 153 153 153 0.000000 0.000000 0.000000
-11.43625355 6.43709278 492.71878052 153 153 153 0.000000 0.000000 0.000000
-11.45603848 6.44196892 492.76382446 153 153 153 0.000000 0.000000 0.000000
-11.44595242 6.43885326 492.73931885 153 153 153 0.000000 0.000000 0.000000
-11.45563221 6.43857479 492.74435425 153 153 153 0.000000 0.000000 0.000000
-11.42925167 6.43156624 492.69558716 153 153 153 0.000000 0.000000 0.000000
-11.45727921 6.44099998 492.73873901 153 153 153 0.000000 0.000000 0.000000
-11.45247936 6.43207169 492.75598145 153 153 153 0.000000 0.000000 0.000000
